EC:1 	 GO:0016491
EC:1.14.13.17 	 GO:0008123
EC:1.14.13.18 	 GO:0018665
EC:1.14.13.19 	 GO:0050326
EC:1.14.13.2 	 GO:0018659
EC:1.14.13.20 	 GO:0018666
EC:1.14.13.21 	 GO:0016711
EC:1.14.13.22 	 GO:0018667
EC:1.14.13.23 	 GO:0018668
EC:1.14.13.24 	 GO:0018669
EC:1.14.13.25 	 GO:0015049
EC:1.14.13.26 	 GO:0050183
EC:1.14.13.27 	 GO:0018670
EC:1.14.13.28 	 GO:0047082
EC:1.14.13.29 	 GO:0018601
EC:1.14.13.30 	 GO:0050051
EC:1.14.13.30 	 GO:0052870
EC:1.14.13.30 	 GO:0052871
EC:1.14.13.31 	 GO:0047549
EC:1.14.13.32 	 GO:0047638
EC:1.14.13.33 	 GO:0018671
EC:1.14.13.34 	 GO:0050052
EC:1.14.13.35 	 GO:0018672
EC:1.14.13.36 	 GO:0047083
EC:1.14.13.37 	 GO:0047084
EC:1.14.13.38 	 GO:0047670
EC:1.14.13.39 	 GO:0004517
EC:1.14.13.4 	 GO:0050091
EC:1.14.13.40 	 GO:0018673
EC:1.14.13.41 	 GO:0050370
EC:1.14.13.43 	 GO:0050246
EC:1.14.13.44 	 GO:0047544
EC:1.14.13.46 	 GO:0047505
EC:1.14.13.47 	 GO:0018674
EC:1.14.13.48 	 GO:0018675
EC:1.14.13.49 	 GO:0018676
EC:1.14.13.5 	 GO:0047717
EC:1.14.13.50 	 GO:0018677
EC:1.14.13.51 	 GO:0047597
EC:1.14.13.52 	 GO:0048000
EC:1.14.13.53 	 GO:0047957
EC:1.14.13.54 	 GO:0047086
EC:1.14.13.55 	 GO:0047087
EC:1.14.13.56 	 GO:0047088
EC:1.14.13.57 	 GO:0047089
EC:1.14.13.58 	 GO:0047090
EC:1.14.13.59 	 GO:0047091
EC:1.14.13.6 	 GO:0018661
EC:1.14.13.60 	 GO:0047092
EC:1.14.13.61 	 GO:0033766
EC:1.14.13.62 	 GO:0047093
EC:1.14.13.63 	 GO:0047094
EC:1.14.13.64 	 GO:0018678
EC:1.14.13.66 	 GO:0047095
EC:1.14.13.67 	 GO:0050591
EC:1.14.13.68 	 GO:0047085
EC:1.14.13.68 	 GO:0050592
EC:1.14.13.69 	 GO:0018645
EC:1.14.13.7 	 GO:0018662
EC:1.14.13.70 	 GO:0008398
EC:1.14.13.71 	 GO:0050593
EC:1.14.13.72 	 GO:0000254
EC:1.14.13.73 	 GO:0050594
EC:1.14.13.74 	 GO:0050595
EC:1.14.13.75 	 GO:0050596
EC:1.14.13.76 	 GO:0050597
EC:1.14.13.77 	 GO:0050598
EC:1.14.13.78 	 GO:0010241
EC:1.14.13.78 	 GO:0052615
EC:1.14.13.78 	 GO:0052616
EC:1.14.13.78 	 GO:0052617
EC:1.14.13.8 	 GO:0004499
EC:1.14.13.80 	 GO:0052741
EC:1.14.13.81 	 GO:0048529
EC:1.14.13.82 	 GO:0018489
EC:1.14.13.83 	 GO:0043818
EC:1.14.13.84 	 GO:0033767
EC:1.14.13.85 	 GO:0033769
EC:1.14.13.86 	 GO:0033770
EC:1.14.13.87 	 GO:0033771
EC:1.14.13.88 	 GO:0033772
EC:1.14.13.89 	 GO:0033773
EC:1.14.13.9 	 GO:0004502
EC:1.14.13.90 	 GO:0009540
EC:1.14.13.90 	 GO:0052662
EC:1.14.13.90 	 GO:0052663
EC:1.14.13.91 	 GO:0033775
EC:1.14.13.92 	 GO:0033776
EC:1.14.13.93 	 GO:0010295
EC:1.14.13.94 	 GO:0033777
EC:1.14.13.95 	 GO:0033778
EC:1.14.13.96 	 GO:0033779
EC:1.14.13.97 	 GO:0033780
EC:1.14.13.98 	 GO:0033781
EC:1.14.13.99 	 GO:0033782
EC:1.14.14 	 GO:0016712
EC:1.14.14.1 	 GO:0070330
EC:1.14.14.12 	 GO:0036383
EC:1.14.14.3 	 GO:0047646
EC:1.14.14.5 	 GO:0008726
EC:1.14.14.9 	 GO:0052881
EC:1.14.15 	 GO:0016713
EC:1.14.15.1 	 GO:0018683
EC:1.14.15.2 	 GO:0018684
EC:1.14.15.3 	 GO:0018685
EC:1.14.15.3 	 GO:0052869
EC:1.14.15.4 	 GO:0004507
EC:1.14.15.5 	 GO:0047783
EC:1.14.15.6 	 GO:0008386
EC:1.14.15.7 	 GO:0019133
EC:1.14.16 	 GO:0016714
EC:1.14.16.1 	 GO:0004505
EC:1.14.16.2 	 GO:0004511
EC:1.14.16.3 	 GO:0050478
EC:1.14.16.4 	 GO:0004510
EC:1.14.16.5 	 GO:0050479
EC:1.14.16.6 	 GO:0050481
EC:1.14.17 	 GO:0016715
EC:1.14.17.1 	 GO:0004500
EC:1.14.17.3 	 GO:0004504
EC:1.14.17.4 	 GO:0009815
EC:1.14.18 	 GO:0016716
EC:1.14.18.1 	 GO:0004503
